iter	Logloss
0	0.6867394089
1	0.6802136481
2	0.6737569921
3	0.6686541104
4	0.66500474
5	0.6608352043
6	0.6561258387
7	0.6504248112
8	0.6449442441
9	0.6397764155
10	0.6349098364
11	0.6314494809
12	0.6264045315
13	0.6213744949
14	0.6163489978
15	0.6115439256
16	0.6070197583
17	0.6026761712
18	0.5992182154
19	0.5949585274
20	0.591282693
21	0.5871470464
22	0.5828819776
23	0.5788239243
24	0.5760547424
25	0.5724353442
26	0.5700737781
27	0.5662700415
28	0.5626744418
29	0.5589060997
30	0.555882702
31	0.5526074696
32	0.5492860608
33	0.5465630561
34	0.5444941821
35	0.5418396369
36	0.5387418871
37	0.5355363045
38	0.5322579041
39	0.5293216178
40	0.526211231
41	0.523069562
42	0.5203837804
43	0.5175418223
44	0.5155204495
45	0.5125652151
46	0.5097888375
47	0.5070891829
48	0.5045092627
49	0.5024980821
50	0.5003597212
51	0.4984216018
52	0.4967537935
53	0.4944344091
54	0.4921253367
55	0.4907717785
56	0.4886961673
57	0.4873026458
58	0.4852985422
59	0.4835372672
60	0.4812657574
61	0.4792106044
62	0.4770843533
63	0.4751890837
64	0.4735295313
65	0.4714295031
66	0.4702023939
67	0.4686417963
68	0.4672521725
69	0.4656401102
70	0.4638244999
71	0.4620890805
72	0.4605286544
73	0.4594145513
74	0.4582785108
75	0.4567882226
76	0.4551084267
77	0.4539251003
78	0.4521221905
79	0.4504711703
80	0.4498957946
81	0.4485765383
82	0.4471099355
83	0.4457187662
84	0.4442162426
85	0.4428835861
86	0.4421702622
87	0.4409906738
88	0.4398827207
89	0.438740062
90	0.4374548456
91	0.4365779493
92	0.4356006508
93	0.4346129596
94	0.43355228
95	0.4326244856
96	0.4318025816
97	0.4306179533
98	0.4297825058
99	0.4288323731
100	0.4280662983
101	0.4270082545
102	0.4260864221
103	0.4257315089
104	0.4252734076
105	0.4241837488
106	0.4238490841
107	0.422929352
108	0.4219659847
109	0.4212461561
110	0.4202605702
111	0.4191173412
112	0.4183055217
113	0.4172673992
114	0.4163953628
115	0.4155558438
116	0.4145718336
117	0.4137955286
118	0.4132751289
119	0.4127702051
120	0.412245295
121	0.4117911421
122	0.4114139556
123	0.4109698334
124	0.4101544639
125	0.4097483358
126	0.4093290325
127	0.4086151163
128	0.4077866759
129	0.4073103614
130	0.4065780884
131	0.406282964
132	0.4059827697
133	0.4055540633
134	0.4051452163
135	0.4044658619
136	0.4039756507
137	0.4034170948
138	0.4028860467
139	0.4023059183
140	0.4019147936
141	0.4011800393
142	0.4006690605
143	0.4005122578
144	0.3999299522
145	0.3995968423
146	0.3991695846
147	0.3987155464
148	0.3982836256
149	0.3977427026
150	0.3976060949
151	0.3967804766
152	0.3963167903
153	0.3958269085
154	0.3955229168
155	0.3951914268
156	0.3947198714
157	0.3944984457
158	0.3939980384
159	0.3935099461
160	0.3929800135
161	0.392432048
162	0.3920820287
163	0.391630952
164	0.3914274191
165	0.391158303
166	0.3908623806
167	0.3903651568
168	0.3900308364
169	0.3895447321
170	0.3892594201
171	0.3890455247
172	0.388809028
173	0.3884634336
174	0.3880096818
175	0.3872963176
176	0.3871776839
177	0.3868788305
178	0.3867231518
179	0.3864033074
180	0.3860553452
181	0.385720248
182	0.3853569207
183	0.3849416226
184	0.3846815416
185	0.3842553286
