iter	Passed	Remaining
0	179	179394
1	181	90359
2	182	60656
3	184	45825
4	184	36809
5	186	30889
6	187	26657
7	189	23486
8	190	21006
9	191	18977
10	193	17357
11	193	15970
12	196	14885
13	198	13985
14	200	13159
15	202	12468
16	204	11830
17	207	11323
18	210	10852
19	212	10400
20	213	9953
21	216	9605
22	217	9250
23	219	8943
24	221	8628
25	222	8333
26	223	8049
27	225	7820
28	227	7615
29	228	7397
30	230	7209
31	232	7040
32	234	6874
33	236	6724
34	238	6588
35	240	6437
36	242	6300
37	243	6162
38	244	6032
39	246	5908
40	247	5791
41	248	5678
42	250	5571
43	251	5469
44	253	5371
45	254	5277
46	255	5187
47	257	5101
48	258	5019
49	259	4939
50	261	4862
51	262	4788
52	264	4717
53	265	4649
54	266	4583
55	267	4512
56	269	4451
57	270	4388
58	271	4330
59	272	4271
60	274	4219
61	275	4171
62	277	4121
63	278	4073
64	279	4022
65	280	3976
66	282	3932
67	283	3891
68	284	3843
69	286	3803
70	287	3763
71	288	3724
72	290	3686
73	291	3649
74	293	3615
75	294	3580
76	295	3546
77	296	3509
78	298	3477
79	300	3451
80	300	3413
81	302	3383
82	303	3358
83	305	3330
84	306	3302
85	308	3276
86	309	3247
87	310	3221
88	312	3197
89	313	3174
90	315	3150
91	316	3124
92	318	3102
93	319	3079
94	321	3060
95	322	3038
96	323	3011
97	325	2991
98	326	2970
99	327	2950
100	329	2929
101	332	2929
102	335	2917
103	337	2909
104	339	2897
105	341	2883
106	343	2863
107	345	2854
108	349	2859
109	352	2850
110	356	2852
111	358	2844
112	364	2862
113	366	2849
114	368	2838
115	371	2828
116	373	2817
117	376	2811
118	379	2809
119	382	2803
120	384	2791
121	384	2770
122	385	2751
123	386	2733
124	388	2719
125	389	2703
126	390	2684
127	391	2668
128	392	2653
129	394	2636
130	395	2623
131	396	2606
132	397	2589
133	398	2575
134	399	2561
135	401	2550
136	402	2537
137	404	2524
138	405	2511
139	406	2498
140	407	2485
141	409	2472
142	410	2460
143	411	2444
144	412	2432
145	413	2420
146	415	2409
147	416	2397
148	417	2386
149	419	2375
